model,prompt_type,temperature,n,valid_n,valid_rate_%
gpt-4.1,feedback,0.0,90,51,56.7
gpt-4.1,feedback,0.2,90,58,64.4
gpt-4.1,feedback,0.4,90,60,66.7
gpt-4.1,no_examples,0.0,93,31,33.3
gpt-4.1,no_examples,0.2,90,37,41.1
gpt-4.1,no_examples,0.4,93,34,36.6
gpt-4.1,with_examples,0.0,90,6,6.7
gpt-4.1,with_examples,0.2,90,9,10.0
gpt-4.1,with_examples,0.4,90,18,20.0
gpt-4o,feedback,0.0,93,74,79.6
gpt-4o,feedback,0.2,90,77,85.6
gpt-4o,feedback,0.4,93,78,83.9
gpt-4o,no_examples,0.0,105,86,81.9
gpt-4o,no_examples,0.2,93,63,67.7
gpt-4o,no_examples,0.4,105,56,53.3
gpt-4o,with_examples,0.0,93,70,75.3
gpt-4o,with_examples,0.2,90,72,80.0
gpt-4o,with_examples,0.4,93,67,72.0
