model,prompt_type,temperature,n,valid_n,valid_rate_%
gpt-4.1,feedback,0.0,90,79,87.8
gpt-4.1,feedback,0.2,90,70,77.8
gpt-4.1,feedback,0.4,90,67,74.4
gpt-4.1,no_examples,0.0,93,5,5.4
gpt-4.1,no_examples,0.2,90,6,6.7
gpt-4.1,no_examples,0.4,93,1,1.1
gpt-4.1,with_examples,0.0,89,11,12.4
gpt-4.1,with_examples,0.2,90,4,4.4
gpt-4.1,with_examples,0.4,90,5,5.6
gpt-4o,feedback,0.0,93,93,100.0
gpt-4o,feedback,0.2,90,90,100.0
gpt-4o,feedback,0.4,99,95,96.0
gpt-4o,no_examples,0.0,117,30,25.6
gpt-4o,no_examples,0.2,90,22,24.4
gpt-4o,no_examples,0.4,102,19,18.6
gpt-4o,with_examples,0.0,111,22,19.8
gpt-4o,with_examples,0.2,90,11,12.2
gpt-4o,with_examples,0.4,90,12,13.3
