model,prompt_type,temperature,n,valid_n,valid_rate_%
gpt-4.1,feedback,0.0,91,91,100.0
gpt-4.1,feedback,0.2,90,90,100.0
gpt-4.1,feedback,0.4,90,90,100.0
gpt-4.1,no_examples,0.0,101,93,92.1
gpt-4.1,no_examples,0.2,92,83,90.2
gpt-4.1,no_examples,0.4,100,76,76.0
gpt-4.1,with_examples,0.0,90,44,48.9
gpt-4.1,with_examples,0.2,90,40,44.4
gpt-4.1,with_examples,0.4,90,36,40.0
gpt-4o,feedback,0.0,96,96,100.0
gpt-4o,feedback,0.2,90,90,100.0
gpt-4o,feedback,0.4,96,96,100.0
gpt-4o,no_examples,0.0,93,65,69.9
gpt-4o,no_examples,0.2,90,51,56.7
gpt-4o,no_examples,0.4,93,57,61.3
gpt-4o,with_examples,0.0,99,97,98.0
gpt-4o,with_examples,0.2,92,86,93.5
gpt-4o,with_examples,0.4,96,76,79.2
